attack,startStamp,endStamp,startTime,endTime,attackerMAC,attackerIP,description
ddos,1663682079.730767,1663682383.768882,2022-09-20 15:54:39.730767,2022-09-20 15:59:43.768882,02:42:c0:a8:00:29,192.168.0.41,ddos
ip-scan,1663682423.853559,1663682428.697727,2022-09-20 16:00:23.853559,2022-09-20 16:00:28.697727,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
replay,1663682468.741003,1663682535.516444,2022-09-20 16:01:08.741003,2022-09-20 16:02:15.516444,02:42:c0:a8:00:29,192.168.0.41,replay-scapy
mitm,1663682575.556887,1663682612.314834,2022-09-20 16:02:55.556887,2022-09-20 16:03:32.314834,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
port-scan,1663682652.357352,1663682664.961336,2022-09-20 16:04:12.357352,2022-09-20 16:04:24.961336,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
mitm,1663682705.009439,1663682741.633819,2022-09-20 16:05:05.009439,2022-09-20 16:05:41.633819,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
port-scan,1663682781.645353,1663682794.380077,2022-09-20 16:06:21.645353,2022-09-20 16:06:34.380077,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
port-scan,1663682834.421368,1663682846.385509,2022-09-20 16:07:14.421368,2022-09-20 16:07:26.385509,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
ip-scan,1663682886.428848,1663682890.042186,2022-09-20 16:08:06.428848,2022-09-20 16:08:10.042186,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
port-scan,1663682930.082188,1663682944.284971,2022-09-20 16:08:50.082188,2022-09-20 16:09:04.284971,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
ip-scan,1663682984.326633,1663682988.305043,2022-09-20 16:09:44.326633,2022-09-20 16:09:48.305043,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
port-scan,1663683028.345857,1663683041.960416,2022-09-20 16:10:28.345857,2022-09-20 16:10:41.960416,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
ip-scan,1663683082.003998,1663683085.786715,2022-09-20 16:11:22.003998,2022-09-20 16:11:25.786715,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
ip-scan,1663683125.826981,1663683129.683181,2022-09-20 16:12:05.826981,2022-09-20 16:12:09.683181,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
ip-scan,1663683169.709712,1663683173.615377,2022-09-20 16:12:49.709712,2022-09-20 16:12:53.615377,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
ddos,1663683218.656172,1663683284.033203,2022-09-20 16:13:38.656172,2022-09-20 16:14:44.033203,02:42:c0:a8:00:29,192.168.0.41,ddos
port-scan,1663683324.077348,1663683339.196166,2022-09-20 16:15:24.077348,2022-09-20 16:15:39.196166,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
ip-scan,1663683379.237152,1663683383.175534,2022-09-20 16:16:19.237152,2022-09-20 16:16:23.175534,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
mitm,1663683423.218022,1663683460.256863,2022-09-20 16:17:03.218022,2022-09-20 16:17:40.256863,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
ip-scan,1663683500.29838,1663683505.133496,2022-09-20 16:18:20.298380,2022-09-20 16:18:25.133496,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
ddos,1663683550.159403,1663683610.99125,2022-09-20 16:19:10.159403,2022-09-20 16:20:10.991250,02:42:c0:a8:00:29,192.168.0.41,ddos
mitm,1663683651.033033,1663683686.902644,2022-09-20 16:20:51.033033,2022-09-20 16:21:26.902644,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
mitm,1663683726.936851,1663683763.736726,2022-09-20 16:22:06.936851,2022-09-20 16:22:43.736726,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
ddos,1663683808.781532,1663683871.195,2022-09-20 16:23:28.781532,2022-09-20 16:24:31.195000,02:42:c0:a8:00:29,192.168.0.41,ddos
ip-scan,1663683911.237765,1663683914.913962,2022-09-20 16:25:11.237765,2022-09-20 16:25:14.913962,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
mitm,1663683954.957202,1663683991.950824,2022-09-20 16:25:54.957202,2022-09-20 16:26:31.950824,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
ddos,1663684036.980584,1663684095.695907,2022-09-20 16:27:16.980584,2022-09-20 16:28:15.695907,02:42:c0:a8:00:29,192.168.0.41,ddos
ip-scan,1663684135.744012,1663684139.319657,2022-09-20 16:28:55.744012,2022-09-20 16:28:59.319657,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
replay,1663684179.340916,1663684244.785401,2022-09-20 16:29:39.340916,2022-09-20 16:30:44.785401,02:42:c0:a8:00:29,192.168.0.41,replay-scapy
mitm,1663684284.825418,1663684321.36504,2022-09-20 16:31:24.825418,2022-09-20 16:32:01.365040,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
port-scan,1663684361.409163,1663684373.852429,2022-09-20 16:32:41.409163,2022-09-20 16:32:53.852429,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
port-scan,1663684413.870493,1663684429.636184,2022-09-20 16:33:33.870493,2022-09-20 16:33:49.636184,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
mitm,1663684469.641617,1663684506.412982,2022-09-20 16:34:29.641617,2022-09-20 16:35:06.412982,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
mitm,1663684546.45543,1663684583.261452,2022-09-20 16:35:46.455430,2022-09-20 16:36:23.261452,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
ip-scan,1663684623.307187,1663684627.300265,2022-09-20 16:37:03.307187,2022-09-20 16:37:07.300265,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
ip-scan,1663684667.309589,1663684670.895525,2022-09-20 16:37:47.309589,2022-09-20 16:37:50.895525,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
mitm,1663684710.938869,1663684747.57525,2022-09-20 16:38:30.938869,2022-09-20 16:39:07.575250,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
replay,1663684787.613847,1663684854.059885,2022-09-20 16:39:47.613847,2022-09-20 16:40:54.059885,02:42:c0:a8:00:29,192.168.0.41,replay-scapy
port-scan,1663684894.08896,1663684907.986178,2022-09-20 16:41:34.088960,2022-09-20 16:41:47.986178,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
port-scan,1663684948.025416,1663684962.905167,2022-09-20 16:42:28.025416,2022-09-20 16:42:42.905167,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
ip-scan,1663685002.926912,1663685006.666371,2022-09-20 16:43:22.926912,2022-09-20 16:43:26.666371,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
ddos,1663685051.701754,1663685110.670506,2022-09-20 16:44:11.701754,2022-09-20 16:45:10.670506,02:42:c0:a8:00:29,192.168.0.41,ddos
ip-scan,1663685150.678591,1663685154.483437,2022-09-20 16:45:50.678591,2022-09-20 16:45:54.483437,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
ip-scan,1663685194.525956,1663685198.4616,2022-09-20 16:46:34.525956,2022-09-20 16:46:38.461600,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
ip-scan,1663685238.501989,1663685242.345949,2022-09-20 16:47:18.501989,2022-09-20 16:47:22.345949,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
ip-scan,1663685282.387516,1663685286.541805,2022-09-20 16:48:02.387516,2022-09-20 16:48:06.541805,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
replay,1663685326.583491,1663685393.346662,2022-09-20 16:48:46.583491,2022-09-20 16:49:53.346662,02:42:c0:a8:00:29,192.168.0.41,replay-scapy
replay,1663685433.388974,1663685499.908914,2022-09-20 16:50:33.388974,2022-09-20 16:51:39.908914,02:42:c0:a8:00:29,192.168.0.41,replay-scapy
port-scan,1663685539.949868,1663685556.114163,2022-09-20 16:52:19.949868,2022-09-20 16:52:36.114163,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
mitm,1663685596.139047,1663685632.871519,2022-09-20 16:53:16.139047,2022-09-20 16:53:52.871519,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
mitm,1663685672.894973,1663685709.881017,2022-09-20 16:54:32.894973,2022-09-20 16:55:09.881017,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
ip-scan,1663685749.924495,1663685753.744528,2022-09-20 16:55:49.924495,2022-09-20 16:55:53.744528,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
replay,1663685793.787033,1663685860.725437,2022-09-20 16:56:33.787033,2022-09-20 16:57:40.725437,02:42:c0:a8:00:29,192.168.0.41,replay-scapy
ip-scan,1663685900.769565,1663685904.71847,2022-09-20 16:58:20.769565,2022-09-20 16:58:24.718470,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
port-scan,1663685944.760521,1663685960.757937,2022-09-20 16:59:04.760521,2022-09-20 16:59:20.757937,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
ip-scan,1663686000.787798,1663686004.470038,2022-09-20 17:00:00.787798,2022-09-20 17:00:04.470038,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
ddos,1663686049.517334,1663686108.149237,2022-09-20 17:00:49.517334,2022-09-20 17:01:48.149237,02:42:c0:a8:00:29,192.168.0.41,ddos
ip-scan,1663686148.178409,1663686152.175079,2022-09-20 17:02:28.178409,2022-09-20 17:02:32.175079,02:42:c0:a8:00:29,192.168.0.41,scan-scapy
port-scan,1663686192.21746,1663686206.772917,2022-09-20 17:03:12.217460,2022-09-20 17:03:26.772917,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
replay,1663686246.816962,1663686313.451679,2022-09-20 17:04:06.816962,2022-09-20 17:05:13.451679,02:42:c0:a8:00:29,192.168.0.41,replay-scapy
mitm,1663686353.476888,1663686390.088303,2022-09-20 17:05:53.476888,2022-09-20 17:06:30.088303,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
port-scan,1663686430.125576,1663686444.983339,2022-09-20 17:07:10.125576,2022-09-20 17:07:24.983339,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
mitm,1663686485.028528,1663686521.226361,2022-09-20 17:08:05.028528,2022-09-20 17:08:41.226361,02:42:c0:a8:00:29,192.168.0.41,mitm-scapy
port-scan,1663686561.263111,1663686575.295529,2022-09-20 17:09:21.263111,2022-09-20 17:09:35.295529,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
port-scan,1663686615.309533,1663686629.580709,2022-09-20 17:10:15.309533,2022-09-20 17:10:29.580709,02:42:c0:a8:00:29,192.168.0.41,scan-nmap
